FIRE_STATION_NUM,OBJECTID_1,FULL_ADDRESS,ZIPCODE,DISTRICT,EMERGENCY_PHONE,HOUSE_PHONE,ADDRESS_ID,GLOBALID,REAL_LAT,REAL_LON
FS-31,,8525 N Newcastle St,80249,8,303-342-4241,303-342-4241,,{00000000-0000-0000-0000-000000000000},39851394,-104682412
FS-35,,25365 E 75th Ave,80249,8,,,469500,{00000000-0000-0000-0000-000000000000},39832392,-104691565
FS-29,,4800 N Himalaya St,80239,5,303-373-8529,303-373-8714,,{00000000-0000-0000-0000-000000000000},39783143,-104754692
FS-2,,5300 Memphis St,80239,5,303-576-2891,303-576-2891,,{00000000-0000-0000-0000-000000000000},39791140,-104796120
FS-27,,12927 E Albrook Drive,80239,5,303-373-8527,303-373-8715,,{00000000-0000-0000-0000-000000000000},39780601,-104840947
FS-22,,3530 S Monaco Pkwy,80237,3,303-692-5622,303-692-5613,,{00000000-0000-0000-0000-000000000000},39643131,-104885004
FS-13,,3673 S Yosemite St,80237,3,303-771-2013,303-850-7613,,{00000000-0000-0000-0000-000000000000},39650033,-104885004
FS-18,,8701 E Alameda Ave,80230,4,720-913-2400,720-865-6818,386969,{00000000-0000-0000-0000-000000000000},39707825,-104885558
FS-26,,7934 E Martin Luther King Blvd,80207,5,303-331-4126,303-370-8105,,{00000000-0000-0000-0000-000000000000},39761350,-104903050
FS-14,,1426 N Oneida St,80220,5,303-331-4014,303-370-8106,126180,{00000000-0000-0000-0000-000000000000},39739201,-104907837
FS-19,,300 S Ivy St,80222,4,303-331-4119,303-370-8104,135391,{00000000-0000-0000-0000-000000000000},39739201,-104907837
FS-5,,999 S Clermont,80246,4,720-865-2210,720-865-2210,,{00000000-0000-0000-0000-000000000000},39669746,-104935691
FS-24,,2695 S Colorado Blvd,80222,3,303-692-5624,303-692-5616,111499,{00000000-0000-0000-0000-000000000000},39682171,-104940658
FS-15,,1375 N Harrison St,80206,4,303-331-4015,303-370-8107,61646,{00000000-0000-0000-0000-000000000000},39737748,-104942216
FS-10,,3200 N Steele St,80205,4,303-331-6110,303-331-6111,314517,{00000000-0000-0000-0000-000000000000},39762393,-104949569
FS-9,,4400 Brighton Blvd,80216,6,303-295-4209,303-295-4458,,{00000000-0000-0000-0000-000000000000},39778471,-104967713
FS-21,,1500 E Virginia Ave,80209,3,303-698-4921,303-698-4927,,{00000000-0000-0000-0000-000000000000},39707411,-104969698
FS-8,,1616 Park Ave W,80218,4,303-839-2108,303-839-2110,,{00000000-0000-0000-0000-000000000000},39742135,-104971788
FS-16,,1601 S Ogden St,80210,3,303-698-3316,303-698-4926,,{00000000-0000-0000-0000-000000000000},39687447,-104975882
FS-3,,2500 N Washington St,80205,2,303-839-2103,303-839-2109,56611,{00000000-0000-0000-0000-000000000000},39753239,-104978151
FS-11,,40 W 2nd Ave,80223,7,303-698-4911,303-698-4925,79842,{00000000-0000-0000-0000-000000000000},39719274,-104988193
FS-38,,4830 S. Acoma Street,80110,7,303-789-3827,303-792-2482,,{00000000-0000-0000-0000-000000000000},39629084,-104988790
FS-4,,1890 Lawrence St,80202,2,303-295-4204,303-295-4409,55110,{00000000-0000-0000-0000-000000000000},39750879,-104992946
FS-37,,555 W. Jefferson Ave,80110,7,303-762-2484,303-762-2477,,{00000000-0000-0000-0000-000000000000},39650698,-104994350
FS-1,,745 W Colfax Ave,80204,2,720-913-3501,720-913-3410,54245,{00000000-0000-0000-0000-000000000000},39740471,-104997509
FS-6,,1300 Blake St,80204,2,303-572-4606,303-572-4638,54194,{00000000-0000-0000-0000-000000000000},39748314,-105002522
FS-23,,850 S Federal Blvd,80219,7,303-937-4623,303-937-4451,181711,{00000000-0000-0000-0000-000000000000},39701182,-105024971
FS-36,,4101 S Federal Blvd,80110,7,303-438-3333,303-762-2222,,{00000000-0000-0000-0000-000000000000},39642167,-105025422
FS-12,,2575 N Federal Blvd,80211,6,303-964-1112,303-458-4866,52612,{00000000-0000-0000-0000-000000000000},39754682,-105025481
FS-20,,501 N Knox Ct,80204,6,303-937-4620,303-937-4609,75835,{00000000-0000-0000-0000-000000000000},39724605,-105031880
FS-7,,2195 W 38 Ave,80211,6,303-964-1007,303-458-4864,,{00000000-0000-0000-0000-000000000000},39769461,-105039930
FS-25,,2504 S Raleigh St,80219,7,303-937-4625,303-937-4455,120066,{00000000-0000-0000-0000-000000000000},39672630,-105041609
FS-17,,4500 N Tennyson St,80212,6,303-964-1117,303-458-4867,27402,{00000000-0000-0000-0000-000000000000},39778574,-105043550
FS-28,,4306 S Wolff St,80236,7,303-730-0028,303-730-3290,153293,{00000000-0000-0000-0000-000000000000},39638465,-105049120
FS-30,,4898 S Dudley St,80236,7,303-933-1630,303-932-2697,189590,{00000000-0000-0000-0000-000000000000},39627614,-105094938
